municipio_ano,pib
50048092010,"5871,13"
50049082010,"15161,72"
50050042010,"10738,3"
50051032010,"22106,94"
50051522010,"16816,71"
50052022010,"7066,5"
50052512010,"31261,5"
50054002010,29773
50056082010,"10666,68"
50056812010,"13035,06"
50057072010,"17429,32"
50058062010,"10097,75"
50060022010,"27912,37"
50062002010,"18966,17"
50062592010,"14373,79"
50063092010,"15220,51"
50063582010,"6301,87"
50064082010,"14955,59"
50066062010,"13490,03"
50069032010,"14979,14"
50071092010,"17081,68"
50072082010,"33915,66"
50073072010,"10869,27"
50074062010,"13089,44"
50075052010,"17443,38"
50075542010,"20687,79"
50076952010,"28420,77"
50077032010,"9429,06"
50078022010,"234386,22"
50079012010,"18169,22"
50079352010,"21137,31"
50079502010,"10140,29"
50079762010,"21406,63"
50080082010,"12916,88"
50083052010,"38507,63"
50084042010,"14246,81"
51001022010,"5902,63"
51002012010,"17009,7"
51002502010,"13872,27"
51003002010,"36100,22"
51003592010,"7725,91"
51004092010,"26124,87"
51005082010,"5545,48"
51006072010,"48470,5"
51008052010,"11092,13"
51010012010,"12944,23"
51012092010,"10602,05"
51012582010,"18605,42"
51013082010,"8416,13"
51014072010,"14416,01"
51016052010,"6978,58"
51017042010,"22653,16"
51018032010,"15637,79"
51018522010,"11752,6"
51019022010,"17389,4"
51025042010,"10191,91"
51026032010,"8303,85"
51026372010,"37221,68"
51026782010,"29644,74"
51026862010,"60211,82"
51026942010,"9176,82"
51027022010,"17514,3"
51027932010,"6981,96"
51028502010,"9981,99"
51030072010,"8763,16"
51030562010,"12836,72"
51031062010,"13719,44"
51032052010,"13812,22"
51032542010,"8480,23"
51033042010,"13312,93"
51033532010,"7615,98"
51033612010,"15071,44"
51033792010,"7896,33"
51034032010,"22747,4"
51034372010,"8579,39"
51034522010,"26584,17"
51035022010,"35723,37"
51036012010,"22956,12"
51037002010,"12304,89"
51038092010,"10896,91"
51038582010,"14226,07"
51039082010,"17194,58"
51039572010,"11857,86"
51041042010,"9376,12"
51042032010,"13630,48"
51045002010,"11547,88"
51045262010,"40940,4"
51045422010,"16345,2"
51045592010,"13968,11"
51046092010,"47777,66"
51048072010,"17395,57"
51049062010,"13451,9"
51050022010,"19671,7"
51051012010,"14101,65"
51051502010,"12117,5"
51051762010,"8815,11"
51052002010,"10923,5"
51052342010,"28460,19"
51052592010,"30113,73"
51053092010,"7731,5"
51055072010,"14823,43"
51055802010,"11253,97"
51056062010,"16611,16"
51056222010,"13580,63"
51059032010,"22335,53"
51060002010,"8414,14"
51061092010,"7149,21"
51061582010,"10180,58"
51061742010,"8019,85"
51061822010,"20722,48"
51061902010,"10292,09"
51062082010,"8327,98"
51062162010,"11779,39"
51062242010,"35167,48"
51062322010,"26475,13"
51062402010,"28686,23"
51062572010,"11822,16"
51062652010,"10393,97"
51062732010,"7598,58"
51062812010,"25577,94"
51062992010,"9955,17"
51063072010,"15804,1"
51063152010,"8620,55"
51063722010,"26543,91"
51064222010,"6675,49"
51064552010,"10038,07"
51065052010,"8519,94"
51066532010,"7412,86"
51067032010,"7996,32"
51067522010,"12010,47"
51067782010,"6913,32"
51068022010,"15405,3"
51068282010,"11479,13"
51068512010,"8440,24"
51070082010,"15061,93"
51070402010,"29210,79"
51070652010,"24745,77"
51071072010,"11400,35"
51071562010,"27383,1"
51071802010,"10879,79"
51071982010,"12177,88"
51072062010,"9236,71"
51072482010,"17928,71"
51072632010,"8279,53"
51072972010,"6759,37"
51073052010,"18973,14"
51073542010,"14263,98"
51074042010,"7380,22"
51075782010,"14334,81"
51076022010,"24679,79"
51077012010,"7920,01"
51077432010,"13277,8"
51077502010,"8935,38"
51077682010,"69257,27"
51077762010,"6332,38"
51077922010,"37725,57"
51078002010,"9594,3"
51078592010,"11103,42"
51078752010,"45794,42"
51078832010,"10079,16"
51079092010,"19814,3"
51079252010,"27583,96"
51079412010,"13328,39"
51079582010,"17415,95"
51080062010,"24462,28"
51080552010,"11237,35"
51081052010,"14665,34"
51082042010,"11584,92"
51083032010,"14937,72"
51083522010,"10022,25"
51084022010,"15466,72"
51085012010,"17497,36"
51086002010,"11603,21"
51088082010,"9181,01"
51088572010,"16937,4"
51089072010,"20995,25"
51089562010,"12349,82"
52000502010,"8596,82"
52001002010,"8094,07"
52001342010,"14985,25"
52001592010,"8718,34"
52001752010,"23343,31"
52002092010,"14284,26"
52002582010,"4812,37"
52003082010,"14464,56"
52005062010,"10439,41"
52005552010,"164729,91"
52006052010,"9280,98"
52008032010,"8976,97"
52008292010,"9742,9"
52008522010,"13084,7"
52009022010,"10295,06"
52011082010,"33013,34"
52012072010,"11299,36"
52013062010,"15235,99"
52014052010,"12745,52"
52014542010,"18551,86"
52015042010,"22463,24"
52016032010,"8503,49"
52017022010,"6094,33"
52018012010,"6913,1"
52021552010,"9641,31"
52023532010,"22408,03"
52025022010,"11995,66"
52026012010,"9256,78"
52028092010,"13775,43"
52031042010,"8673,45"
52032032010,"14265,7"
52033022010,"15808,39"
52034012010,"10116,49"
52035002010,"14659,22"
52035592010,"6387,74"
52035752010,"11269,11"
52036092010,"11785,98"
52038072010,"11012,66"
52039062010,"18767,43"
52039392010,"9321,21"
52039622010,"5482,72"
52040032010,"18238,53"
52041022010,"11279,47"
52042012010,"11534,39"
52042502010,"59171,25"
52043002010,"27143,89"
52044092010,"21258,09"
52045082010,"16994,33"
52045572010,"8007,96"
52046072010,"8258,97"
52046562010,"8676,58"
52047062010,"10300,78"
